信息,position,rentmoney,Website
"
          整租·十里堡 2室1厅 东南        ",十里堡,5600,https://bj.lianjia.com/zufang/BJ2469372809261096960.html
"
          整租·冠城大通百旺府 1室1厅 南        ",冠城大通百旺府,5200,https://bj.lianjia.com/zufang/BJ2371645828445249536.html
"
          整租·东平里 2室1厅 南        ",东平里,4200,https://bj.lianjia.com/zufang/BJ2469369922154151936.html
"
          整租·东营前街 2室1厅 南/北        ",东营前街,3500,https://bj.lianjia.com/zufang/BJ2468821822838145024.html
"
          整租·新凤小区 2室1厅 南/北        ",新凤小区,2500,https://bj.lianjia.com/zufang/BJ2468640495157649408.html
"
          整租·管庄西里 2室1厅 东        ",管庄西里,4500,https://bj.lianjia.com/zufang/BJ2468701921612144640.html
"
          整租·风度柏林 1室1厅 东        ",风度柏林,6000,https://bj.lianjia.com/zufang/BJ2468627827269320704.html
"
          整租·自然佳境 2室1厅 南/北        ",自然佳境,3500,https://bj.lianjia.com/zufang/BJ2467444582678536192.html
"
          整租·浅山香邑 2室1厅 南/北        ",浅山香邑,2600,https://bj.lianjia.com/zufang/BJ2467206292029317120.html
"
          整租·青塔秀园 2室1厅 南/北        ",青塔秀园,4600,https://bj.lianjia.com/zufang/BJ2467329706807001088.html
"
          整租·水岸温泉 2室1厅 南        ",水岸温泉,4500,https://bj.lianjia.com/zufang/BJ2467407722547781632.html
"
          整租·泰和谊园 1室1厅 南        ",泰和谊园,2600,https://bj.lianjia.com/zufang/BJ2467877104365076480.html
"
          整租·芍药居北里 1室1厅 南        ",芍药居北里,4500,https://bj.lianjia.com/zufang/BJ2468896102670680064.html
"
          整租·甘露家园 2室1厅 东/北        ",甘露家园,5800,https://bj.lianjia.com/zufang/BJ2469314592396804096.html
"
          整租·红松园小区 2室1厅 南/北        ",红松园小区,4800,https://bj.lianjia.com/zufang/BJ2467303931651833856.html
"
          整租·北大街南里 2室1厅 南/北        ",北大街南里,4000,https://bj.lianjia.com/zufang/BJ2467348686024212480.html
"
          整租·樊家村甲14号院 2室1厅 东/西        ",樊家村甲14号院,4500,https://bj.lianjia.com/zufang/BJ2467260845621510144.html
"
          整租·西木小区 2室1厅 南/北        ",西木小区,6000,https://bj.lianjia.com/zufang/BJ2467867729827741696.html
"
          整租·模式口南里 2室1厅 南        ",模式口南里,4200,https://bj.lianjia.com/zufang/BJ2467894912775880704.html
"
          整租·沿海赛洛城七期 1室1厅 东        ",沿海赛洛城七期,6000,https://bj.lianjia.com/zufang/BJ2467280492924510208.html
"
          整租·天天家园 1室1厅 东北        ",天天家园,6000,https://bj.lianjia.com/zufang/BJ2467260572572590080.html
"
          整租·和平里七区 1室1厅 南        ",和平里七区,5600,https://bj.lianjia.com/zufang/BJ2467221391314001920.html
"
          整租·白广路6号院 1室1厅 西        ",白广路6号院,5800,https://bj.lianjia.com/zufang/BJ2467990991387770880.html
"
          整租·安贞西里 1室1厅 南        ",安贞西里,5500,https://bj.lianjia.com/zufang/BJ2467325785829015552.html
"
          整租·法华南里 1室1厅 南        ",法华南里,5300,https://bj.lianjia.com/zufang/BJ2467421271592271872.html
"
          整租·北洼西里 1室1厅 南        ",北洼西里,5800,https://bj.lianjia.com/zufang/BJ2467431456108969984.html
"
          整租·管庄西里 2室1厅 南/北        ",管庄西里,4600,https://bj.lianjia.com/zufang/BJ2467251387298488320.html
"
          整租·建国门内大街 1室1厅 东        ",建国门内大街,6100,https://bj.lianjia.com/zufang/BJ2467136659695599616.html
"
          整租·古城南路 2室1厅 东        ",古城南路,4300,https://bj.lianjia.com/zufang/BJ2467909194809360384.html
"
          整租·北京新天地一期 1室1厅 北        ",北京新天地一期,5300,https://bj.lianjia.com/zufang/BJ2468634415530508288.html
"
          整租·十里堡 2室1厅 东南        ",十里堡,5600,https://bj.lianjia.com/zufang/BJ2469372809261096960.html
"
          整租·冠城大通百旺府 1室1厅 南        ",冠城大通百旺府,5200,https://bj.lianjia.com/zufang/BJ2371645828445249536.html
"
          整租·东平里 2室1厅 南        ",东平里,4200,https://bj.lianjia.com/zufang/BJ2469369922154151936.html
"
          整租·东营前街 2室1厅 南/北        ",东营前街,3500,https://bj.lianjia.com/zufang/BJ2468821822838145024.html
"
          整租·新凤小区 2室1厅 南/北        ",新凤小区,2500,https://bj.lianjia.com/zufang/BJ2468640495157649408.html
"
          整租·管庄西里 2室1厅 东        ",管庄西里,4500,https://bj.lianjia.com/zufang/BJ2468701921612144640.html
"
          整租·风度柏林 1室1厅 东        ",风度柏林,6000,https://bj.lianjia.com/zufang/BJ2468627827269320704.html
"
          整租·自然佳境 2室1厅 南/北        ",自然佳境,3500,https://bj.lianjia.com/zufang/BJ2467444582678536192.html
"
          整租·浅山香邑 2室1厅 南/北        ",浅山香邑,2600,https://bj.lianjia.com/zufang/BJ2467206292029317120.html
"
          整租·青塔秀园 2室1厅 南/北        ",青塔秀园,4600,https://bj.lianjia.com/zufang/BJ2467329706807001088.html
"
          整租·水岸温泉 2室1厅 南        ",水岸温泉,4500,https://bj.lianjia.com/zufang/BJ2467407722547781632.html
"
          整租·泰和谊园 1室1厅 南        ",泰和谊园,2600,https://bj.lianjia.com/zufang/BJ2467877104365076480.html
"
          整租·甘露家园 2室1厅 东/北        ",甘露家园,5800,https://bj.lianjia.com/zufang/BJ2469314592396804096.html
"
          整租·芍药居北里 1室1厅 南        ",芍药居北里,4500,https://bj.lianjia.com/zufang/BJ2468896102670680064.html
"
          整租·红松园小区 2室1厅 南/北        ",红松园小区,4800,https://bj.lianjia.com/zufang/BJ2467303931651833856.html
"
          整租·樊家村甲14号院 2室1厅 东/西        ",樊家村甲14号院,4500,https://bj.lianjia.com/zufang/BJ2467260845621510144.html
"
          整租·西木小区 2室1厅 南/北        ",西木小区,6000,https://bj.lianjia.com/zufang/BJ2467867729827741696.html
"
          整租·北大街南里 2室1厅 南/北        ",北大街南里,4000,https://bj.lianjia.com/zufang/BJ2467348686024212480.html
"
          整租·模式口南里 2室1厅 南        ",模式口南里,4200,https://bj.lianjia.com/zufang/BJ2467894912775880704.html
"
          整租·沿海赛洛城七期 1室1厅 东        ",沿海赛洛城七期,6000,https://bj.lianjia.com/zufang/BJ2467280492924510208.html
"
          整租·天天家园 1室1厅 东北        ",天天家园,6000,https://bj.lianjia.com/zufang/BJ2467260572572590080.html
"
          整租·安贞西里 1室1厅 南        ",安贞西里,5500,https://bj.lianjia.com/zufang/BJ2467325785829015552.html
"
          整租·和平里七区 1室1厅 南        ",和平里七区,5600,https://bj.lianjia.com/zufang/BJ2467221391314001920.html
"
          整租·白广路6号院 1室1厅 西        ",白广路6号院,5800,https://bj.lianjia.com/zufang/BJ2467990991387770880.html
"
          整租·北洼西里 1室1厅 南        ",北洼西里,5800,https://bj.lianjia.com/zufang/BJ2467431456108969984.html
"
          整租·法华南里 1室1厅 南        ",法华南里,5300,https://bj.lianjia.com/zufang/BJ2467421271592271872.html
"
          整租·管庄西里 2室1厅 南/北        ",管庄西里,4600,https://bj.lianjia.com/zufang/BJ2467251387298488320.html
"
          整租·建国门内大街 1室1厅 东        ",建国门内大街,6100,https://bj.lianjia.com/zufang/BJ2467136659695599616.html
"
          整租·古城南路 2室1厅 东        ",古城南路,4300,https://bj.lianjia.com/zufang/BJ2467909194809360384.html
"
          整租·北京新天地一期 1室1厅 北        ",北京新天地一期,5300,https://bj.lianjia.com/zufang/BJ2468634415530508288.html
"
          整租·十里堡 2室1厅 东南        ",十里堡,5600,https://bj.lianjia.com/zufang/BJ2469372809261096960.html
"
          整租·冠城大通百旺府 1室1厅 南        ",冠城大通百旺府,5200,https://bj.lianjia.com/zufang/BJ2371645828445249536.html
"
          整租·东平里 2室1厅 南        ",东平里,4200,https://bj.lianjia.com/zufang/BJ2469369922154151936.html
"
          整租·东营前街 2室1厅 南/北        ",东营前街,3500,https://bj.lianjia.com/zufang/BJ2468821822838145024.html
"
          整租·新凤小区 2室1厅 南/北        ",新凤小区,2500,https://bj.lianjia.com/zufang/BJ2468640495157649408.html
"
          整租·管庄西里 2室1厅 东        ",管庄西里,4500,https://bj.lianjia.com/zufang/BJ2468701921612144640.html
"
          整租·风度柏林 1室1厅 东        ",风度柏林,6000,https://bj.lianjia.com/zufang/BJ2468627827269320704.html
"
          整租·自然佳境 2室1厅 南/北        ",自然佳境,3500,https://bj.lianjia.com/zufang/BJ2467444582678536192.html
"
          整租·浅山香邑 2室1厅 南/北        ",浅山香邑,2600,https://bj.lianjia.com/zufang/BJ2467206292029317120.html
"
          整租·青塔秀园 2室1厅 南/北        ",青塔秀园,4600,https://bj.lianjia.com/zufang/BJ2467329706807001088.html
"
          整租·水岸温泉 2室1厅 南        ",水岸温泉,4500,https://bj.lianjia.com/zufang/BJ2467407722547781632.html
"
          整租·泰和谊园 1室1厅 南        ",泰和谊园,2600,https://bj.lianjia.com/zufang/BJ2467877104365076480.html
"
          整租·芍药居北里 1室1厅 南        ",芍药居北里,4500,https://bj.lianjia.com/zufang/BJ2468896102670680064.html
"
          整租·甘露家园 2室1厅 东/北        ",甘露家园,5800,https://bj.lianjia.com/zufang/BJ2469314592396804096.html
"
          整租·红松园小区 2室1厅 南/北        ",红松园小区,4800,https://bj.lianjia.com/zufang/BJ2467303931651833856.html
"
          整租·北大街南里 2室1厅 南/北        ",北大街南里,4000,https://bj.lianjia.com/zufang/BJ2467348686024212480.html
"
          整租·樊家村甲14号院 2室1厅 东/西        ",樊家村甲14号院,4500,https://bj.lianjia.com/zufang/BJ2467260845621510144.html
"
          整租·西木小区 2室1厅 南/北        ",西木小区,6000,https://bj.lianjia.com/zufang/BJ2467867729827741696.html
"
          整租·模式口南里 2室1厅 南        ",模式口南里,4200,https://bj.lianjia.com/zufang/BJ2467894912775880704.html
"
          整租·沿海赛洛城七期 1室1厅 东        ",沿海赛洛城七期,6000,https://bj.lianjia.com/zufang/BJ2467280492924510208.html
"
          整租·天天家园 1室1厅 东北        ",天天家园,6000,https://bj.lianjia.com/zufang/BJ2467260572572590080.html
"
          整租·和平里七区 1室1厅 南        ",和平里七区,5600,https://bj.lianjia.com/zufang/BJ2467221391314001920.html
"
          整租·白广路6号院 1室1厅 西        ",白广路6号院,5800,https://bj.lianjia.com/zufang/BJ2467990991387770880.html
"
          整租·安贞西里 1室1厅 南        ",安贞西里,5500,https://bj.lianjia.com/zufang/BJ2467325785829015552.html
"
          整租·法华南里 1室1厅 南        ",法华南里,5300,https://bj.lianjia.com/zufang/BJ2467421271592271872.html
"
          整租·北洼西里 1室1厅 南        ",北洼西里,5800,https://bj.lianjia.com/zufang/BJ2467431456108969984.html
"
          整租·管庄西里 2室1厅 南/北        ",管庄西里,4600,https://bj.lianjia.com/zufang/BJ2467251387298488320.html
"
          整租·建国门内大街 1室1厅 东        ",建国门内大街,6100,https://bj.lianjia.com/zufang/BJ2467136659695599616.html
"
          整租·古城南路 2室1厅 东        ",古城南路,4300,https://bj.lianjia.com/zufang/BJ2467909194809360384.html
"
          整租·北京新天地一期 1室1厅 北        ",北京新天地一期,5300,https://bj.lianjia.com/zufang/BJ2468634415530508288.html
"
          整租·十里堡 2室1厅 东南        ",十里堡,5600,https://bj.lianjia.com/zufang/BJ2469372809261096960.html
"
          整租·冠城大通百旺府 1室1厅 南        ",冠城大通百旺府,5200,https://bj.lianjia.com/zufang/BJ2371645828445249536.html
"
          整租·东平里 2室1厅 南        ",东平里,4200,https://bj.lianjia.com/zufang/BJ2469369922154151936.html
"
          整租·东营前街 2室1厅 南/北        ",东营前街,3500,https://bj.lianjia.com/zufang/BJ2468821822838145024.html
"
          整租·新凤小区 2室1厅 南/北        ",新凤小区,2500,https://bj.lianjia.com/zufang/BJ2468640495157649408.html
"
          整租·管庄西里 2室1厅 东        ",管庄西里,4500,https://bj.lianjia.com/zufang/BJ2468701921612144640.html
"
          整租·风度柏林 1室1厅 东        ",风度柏林,6000,https://bj.lianjia.com/zufang/BJ2468627827269320704.html
"
          整租·自然佳境 2室1厅 南/北        ",自然佳境,3500,https://bj.lianjia.com/zufang/BJ2467444582678536192.html
"
          整租·浅山香邑 2室1厅 南/北        ",浅山香邑,2600,https://bj.lianjia.com/zufang/BJ2467206292029317120.html
"
          整租·青塔秀园 2室1厅 南/北        ",青塔秀园,4600,https://bj.lianjia.com/zufang/BJ2467329706807001088.html
"
          整租·水岸温泉 2室1厅 南        ",水岸温泉,4500,https://bj.lianjia.com/zufang/BJ2467407722547781632.html
"
          整租·泰和谊园 1室1厅 南        ",泰和谊园,2600,https://bj.lianjia.com/zufang/BJ2467877104365076480.html
"
          整租·甘露家园 2室1厅 东/北        ",甘露家园,5800,https://bj.lianjia.com/zufang/BJ2469314592396804096.html
"
          整租·芍药居北里 1室1厅 南        ",芍药居北里,4500,https://bj.lianjia.com/zufang/BJ2468896102670680064.html
"
          整租·红松园小区 2室1厅 南/北        ",红松园小区,4800,https://bj.lianjia.com/zufang/BJ2467303931651833856.html
"
          整租·樊家村甲14号院 2室1厅 东/西        ",樊家村甲14号院,4500,https://bj.lianjia.com/zufang/BJ2467260845621510144.html
"
          整租·西木小区 2室1厅 南/北        ",西木小区,6000,https://bj.lianjia.com/zufang/BJ2467867729827741696.html
"
          整租·北大街南里 2室1厅 南/北        ",北大街南里,4000,https://bj.lianjia.com/zufang/BJ2467348686024212480.html
"
          整租·模式口南里 2室1厅 南        ",模式口南里,4200,https://bj.lianjia.com/zufang/BJ2467894912775880704.html
"
          整租·沿海赛洛城七期 1室1厅 东        ",沿海赛洛城七期,6000,https://bj.lianjia.com/zufang/BJ2467280492924510208.html
"
          整租·天天家园 1室1厅 东北        ",天天家园,6000,https://bj.lianjia.com/zufang/BJ2467260572572590080.html
"
          整租·安贞西里 1室1厅 南        ",安贞西里,5500,https://bj.lianjia.com/zufang/BJ2467325785829015552.html
"
          整租·和平里七区 1室1厅 南        ",和平里七区,5600,https://bj.lianjia.com/zufang/BJ2467221391314001920.html
"
          整租·白广路6号院 1室1厅 西        ",白广路6号院,5800,https://bj.lianjia.com/zufang/BJ2467990991387770880.html
"
          整租·北洼西里 1室1厅 南        ",北洼西里,5800,https://bj.lianjia.com/zufang/BJ2467431456108969984.html
"
          整租·法华南里 1室1厅 南        ",法华南里,5300,https://bj.lianjia.com/zufang/BJ2467421271592271872.html
"
          整租·管庄西里 2室1厅 南/北        ",管庄西里,4600,https://bj.lianjia.com/zufang/BJ2467251387298488320.html
"
          整租·建国门内大街 1室1厅 东        ",建国门内大街,6100,https://bj.lianjia.com/zufang/BJ2467136659695599616.html
"
          整租·古城南路 2室1厅 东        ",古城南路,4300,https://bj.lianjia.com/zufang/BJ2467909194809360384.html
"
          整租·北京新天地一期 1室1厅 北        ",北京新天地一期,5300,https://bj.lianjia.com/zufang/BJ2468634415530508288.html
"
          整租·十里堡 2室1厅 东南        ",十里堡,5600,https://bj.lianjia.com/zufang/BJ2469372809261096960.html
"
          整租·冠城大通百旺府 1室1厅 南        ",冠城大通百旺府,5200,https://bj.lianjia.com/zufang/BJ2371645828445249536.html
"
          整租·东平里 2室1厅 南        ",东平里,4200,https://bj.lianjia.com/zufang/BJ2469369922154151936.html
"
          整租·东营前街 2室1厅 南/北        ",东营前街,3500,https://bj.lianjia.com/zufang/BJ2468821822838145024.html
"
          整租·新凤小区 2室1厅 南/北        ",新凤小区,2500,https://bj.lianjia.com/zufang/BJ2468640495157649408.html
"
          整租·管庄西里 2室1厅 东        ",管庄西里,4500,https://bj.lianjia.com/zufang/BJ2468701921612144640.html
"
          整租·风度柏林 1室1厅 东        ",风度柏林,6000,https://bj.lianjia.com/zufang/BJ2468627827269320704.html
"
          整租·自然佳境 2室1厅 南/北        ",自然佳境,3500,https://bj.lianjia.com/zufang/BJ2467444582678536192.html
"
          整租·浅山香邑 2室1厅 南/北        ",浅山香邑,2600,https://bj.lianjia.com/zufang/BJ2467206292029317120.html
"
          整租·青塔秀园 2室1厅 南/北        ",青塔秀园,4600,https://bj.lianjia.com/zufang/BJ2467329706807001088.html
"
          整租·水岸温泉 2室1厅 南        ",水岸温泉,4500,https://bj.lianjia.com/zufang/BJ2467407722547781632.html
"
          整租·泰和谊园 1室1厅 南        ",泰和谊园,2600,https://bj.lianjia.com/zufang/BJ2467877104365076480.html
"
          整租·甘露家园 2室1厅 东/北        ",甘露家园,5800,https://bj.lianjia.com/zufang/BJ2469314592396804096.html
"
          整租·芍药居北里 1室1厅 南        ",芍药居北里,4500,https://bj.lianjia.com/zufang/BJ2468896102670680064.html
"
          整租·红松园小区 2室1厅 南/北        ",红松园小区,4800,https://bj.lianjia.com/zufang/BJ2467303931651833856.html
"
          整租·樊家村甲14号院 2室1厅 东/西        ",樊家村甲14号院,4500,https://bj.lianjia.com/zufang/BJ2467260845621510144.html
"
          整租·西木小区 2室1厅 南/北        ",西木小区,6000,https://bj.lianjia.com/zufang/BJ2467867729827741696.html
"
          整租·北大街南里 2室1厅 南/北        ",北大街南里,4000,https://bj.lianjia.com/zufang/BJ2467348686024212480.html
"
          整租·模式口南里 2室1厅 南        ",模式口南里,4200,https://bj.lianjia.com/zufang/BJ2467894912775880704.html
"
          整租·沿海赛洛城七期 1室1厅 东        ",沿海赛洛城七期,6000,https://bj.lianjia.com/zufang/BJ2467280492924510208.html
"
          整租·天天家园 1室1厅 东北        ",天天家园,6000,https://bj.lianjia.com/zufang/BJ2467260572572590080.html
"
          整租·安贞西里 1室1厅 南        ",安贞西里,5500,https://bj.lianjia.com/zufang/BJ2467325785829015552.html
"
          整租·和平里七区 1室1厅 南        ",和平里七区,5600,https://bj.lianjia.com/zufang/BJ2467221391314001920.html
"
          整租·白广路6号院 1室1厅 西        ",白广路6号院,5800,https://bj.lianjia.com/zufang/BJ2467990991387770880.html
"
          整租·北洼西里 1室1厅 南        ",北洼西里,5800,https://bj.lianjia.com/zufang/BJ2467431456108969984.html
"
          整租·法华南里 1室1厅 南        ",法华南里,5300,https://bj.lianjia.com/zufang/BJ2467421271592271872.html
"
          整租·管庄西里 2室1厅 南/北        ",管庄西里,4600,https://bj.lianjia.com/zufang/BJ2467251387298488320.html
"
          整租·建国门内大街 1室1厅 东        ",建国门内大街,6100,https://bj.lianjia.com/zufang/BJ2467136659695599616.html
"
          整租·古城南路 2室1厅 东        ",古城南路,4300,https://bj.lianjia.com/zufang/BJ2467909194809360384.html
"
          整租·北京新天地一期 1室1厅 北        ",北京新天地一期,5300,https://bj.lianjia.com/zufang/BJ2468634415530508288.html
"
          整租·十里堡 2室1厅 东南        ",十里堡,5600,https://bj.lianjia.com/zufang/BJ2469372809261096960.html
